,Bangalore Rural,Bangalore Urban,Chennai,Delhi,Greater Bombay,Hyderabad,Kolkata,Pune,dates
0,86.98363276,181.1891992,254.8285994,228.3520939,222.4339255,255,255,85.07082389,01-01-2014
1,92.81412239,187.545774,254.8021548,237.6997704,216.7976603,255,255,87.98371285,01-02-2014
2,93.14369114,188.63575,254.8893242,234.488462,225.7441056,255,255,90.24493795,01-03-2014
3,97.02911173,193.6658961,254.9098923,232.8326071,224.3986135,255,255,91.59228237,01-04-2014
4,86.44156836,160.9807035,254.8011753,231.4854416,223.5506932,255,255,87.56114804,01-05-2014
5,87.99101319,181.1132859,254.8971596,230.1075269,223.2414017,255,255,86.47859274,01-06-2014
6,86.34725649,176.8711107,253.7727718,229.5683854,226.2844473,255,250.1157495,87.20057152,01-07-2014
7,87.91670431,183.7142593,253.2566112,231.2805364,160.9798832,254.7321429,255,76.17921133,01-08-2014
8,88.60968078,184.5007398,254.7296768,235.432946,222.7450173,255,255,90.21575031,01-09-2014
9,84.2058936,178.244128,254.4642507,244.8794249,226.0313649,255,255,87.11774952,01-10-2014
10,83.47544914,180.3232389,254.5710088,237.5256736,216.3336222,254.9979058,255,83.47668447,01-11-2014
11,84.07346144,182.2637322,254.8109696,236.3042165,218.5474437,255,255,89.25039382,01-12-2014
12,90.328839,186.8256889,254.9108717,231.7960542,222.0329289,255,255,88.83297666,01-01-2015
13,99.87279667,194.3993168,254.820764,239.9139434,218.1213498,255,255,93.75015689,01-02-2015
14,93.69350523,188.888293,254.798237,235.9011135,223.2913692,255,255,90.85700747,01-03-2015
15,92.83195697,191.3780285,254.4877571,239.0285127,228.7640061,255,255,94.00964927,01-04-2015
16,92.85950586,191.3259164,254.798237,235.1471548,224.3432836,255,255,89.69055212,01-05-2015
17,81.37272727,169.2161389,253.7668952,233.8372599,218.1453602,61.56125654,255,87.68717403,01-06-2015
18,87.86172985,179.0022159,254.1743389,231.7360155,221.7265845,168.2615546,253.8728653,87.17859659,01-07-2015
19,92.66223025,189.0818946,254.7571009,234.2779993,216.9789861,252.4858639,255,94.07026037,01-08-2015
20,89.98891476,185.0026775,254.8158668,233.0414401,223.0542937,255,255,85.59944161,01-09-2015
21,89.10145732,186.941095,254.74143,235.6683581,235.8394982,255,255,89.77123756,01-10-2015
22,82.89081558,176.5756427,248.2928501,244.2040594,225.5933377,255,255,95.98160884,01-11-2015
23,86.57726657,183.1562789,253.8765916,237.6770569,215.7371836,255,255,91.66609429,01-12-2015
24,84.98047051,184.0206214,254.8472086,235.1573469,221.3913043,255,255,88.70859748,01-01-2016
25,87.56970854,188.899852,254.8511263,236.2852483,219.309792,255,255,90.45475852,01-02-2016
26,93.40471895,192.7605881,254.9294809,238.676332,221.528661,255,255,93.3203084,01-03-2016
27,93.49334538,193.454344,254.8589618,234.998671,225.4198572,255,255,92.58211345,01-04-2016
28,99.9277932,198.0528019,254.6287953,235.9633925,223.1574735,255,255,96.72186271,01-05-2016
29,89.55210759,182.0758276,254.870715,234.7549837,234.327493,255,255,90.8249292,01-06-2016
30,85.68927828,185.5928426,254.4417238,232.6909508,181.6584469,254.5497382,252.7542533,73.04460705,01-07-2016
31,89.79021513,174.2087109,254.712047,228.2792302,193.7508112,255,255,80.56522073,01-08-2016
32,89.70028147,188.8335491,244.7639569,234.9894699,228.285312,255,255,90.66346733,01-09-2016
33,91.07244969,192.9581756,254.906954,239.97664,224.8338741,255,255,94.27664861,01-10-2016
34,87.14647114,187.1346136,254.761998,233.6596466,216.7399957,255,255,92.62506247,01-11-2016
35,86.20534351,184.8393749,254.8883448,231.4332488,213.8286395,255,255,88.64263106,01-12-2016
36,91.36308119,187.8462746,254.9343781,236.0095445,222.4931862,255,255,92.98049461,01-01-2017
37,95.96353227,190.684886,254.9294809,234.4270871,222.0986372,255,255,96.37380413,01-02-2017
38,100.5344205,197.5939433,254.9441724,237.0382474,224.9826952,255,255,98.50819021,01-03-2017
39,102.5028799,200.4119657,254.9520078,241.3062704,227.8797318,255,255,104.3658637,01-04-2017
40,95.34524099,189.7292955,254.8452498,236.396158,229.5135194,254.9926471,255,101.8880778,01-05-2017
41,98.22633588,192.7065841,243.17238,233.6044541,224.5721393,255,255,91.60563579,01-06-2017
42,94.26266482,192.2981258,254.0891283,232.384318,213.8159204,255,255,87.26391824,01-07-2017
43,70.9340793,69.93869059,221.9422135,233.3621399,224.8633016,251.8900524,244.4250474,93.05188202,01-08-2017
44,96.2147814,188.0214537,254.9755142,236.5538611,230.2697383,253.7521008,255,95.22271743,01-09-2017
45,98.3129771,196.9879051,254.9294809,241.3208666,224.6934575,255,255,99.29475761,01-10-2017
46,94.20662335,188.7807472,254.8432909,239.8201404,226.6629116,255,255,97.392929,01-11-2017
47,92.50308813,189.128797,254.9196866,229.8913096,222.3652513,255,255,95.04841127,01-12-2017
48,93.60263706,191.1047918,254.9226249,232.1598405,227.3171101,255,255,95.35082076,01-01-2018
49,98.20506593,194.9438691,254.8736533,237.0361898,228.8472853,255,255,100.2009303,01-02-2018
50,98.48990285,200.3440126,254.9755142,238.9258049,226.4187757,255,255,100.1920442,01-03-2018
51,105.7884455,204.620626,254.9157689,239.7822561,230.1713173,255,255,105.5068749,01-04-2018
52,78.05166551,125.7720432,254.8237023,232.8153921,232.9301319,255,255,99.87845955,01-05-2018
53,95.93820264,187.9021639,252.2673849,235.8858282,228.2645468,255,255,96.8670118,01-06-2018
54,93.65013879,180.2130571,185.619001,232.6207563,71.82197707,96.51680672,255,78.97332035,01-07-2018
55,100.7149202,202.5944146,232.5426053,232.2904434,151.9131282,255,255,84.60309853,01-08-2018
56,102.6921235,198.7811171,254.9725759,234.476622,229.2301536,255,255,97.19003343,01-09-2018
57,96.27349063,194.0818384,254.8158668,236.8256615,235.8963876,255,255,99.08419462,01-10-2018
58,95.06158917,192.4561679,254.8795299,240.329588,224.2647631,255,255,101.1787998,01-11-2018
59,96.11207495,195.3620164,254.9245837,235.9607346,226.1977071,255,255,101.1542858,01-12-2018
60,96.79972241,196.4510819,255,237.1228706,222.8924941,255,255,99.6587388,01-01-2019
61,97.18375786,198.8145922,254.9774731,236.3753776,229.4362968,255,255,102.730882,01-02-2019
62,107.1611381,206.5909007,254.9657199,238.487133,228.6980069,255,255,106.1162654,01-03-2019
63,102.6642458,203.0501339,254.9608227,239.459466,231.6826736,255,255,105.8775502,01-04-2019
64,105.2278626,207.4561906,255,239.0195723,227.3615685,255,255,107.0068262,01-05-2019
65,108.8863676,207.9374942,254.8550441,235.8974266,230.4837522,250.9842932,255,105.1977178,01-06-2019
66,107.8986691,208.6019758,231.4720862,238.4377875,193.8308458,57.62198953,255,91.07519115,01-07-2019
67,94.84219292,180.5650083,82.3281097,235.3408376,213.4789861,255,255,92.13135078,01-08-2019
68,93.05017349,189.0605669,254.244858,236.8156337,112.1146442,57,253.1214421,79.79995133,01-09-2019
69,95.63278973,191.1718143,254.9294809,241.7122146,230.8271685,255,255,103.4428478,01-10-2019
70,97.98776801,198.2342334,254.9382958,239.6182522,228.9643089,255,255,100.5345669,01-11-2019
71,98.37693297,200.9529314,254.9804114,235.3165093,228.7713606,255,255,99.48536776,01-12-2019
72,96.04437572,197.4532088,254.8893242,233.9716776,226.6930243,255,255,97.67926896,01-01-2020
73,107.8274664,207.2141077,254.9951028,241.1016069,232.4358642,255,255,108.8632572,01-02-2020
