system:time_start,NDVI
01-Jan-10,4289.42
17-Jan-10,4046.32
02-Feb-10,3541.83
18-Feb-10,3397.62
06-Mar-10,3125.79
22-Mar-10,2919.93
07-Apr-10,2926.39
23-Apr-10,2906.57
09-May-10,2791.61
25-May-10,2882.51
10-Jun-10,3305.63
26-Jun-10,3334.92
12-Jul-10,3330.52
28-Jul-10,3877.66
13-Aug-10,3023.16
29-Aug-10,4701.10
14-Sep-10,5927.65
30-Sep-10,6030.39
16-Oct-10,5690.57
01-Nov-10,5539.53
17-Nov-10,5406.83
03-Dec-10,4923.66
19-Dec-10,4687.07
01-Jan-11,4074.58
17-Jan-11,3757.06
02-Feb-11,3553.68
18-Feb-11,3388.45
06-Mar-11,3097.97
22-Mar-11,2851.37
07-Apr-11,2847.56
23-Apr-11,2792.09
09-May-11,2745.79
25-May-11,3033.40
10-Jun-11,2085.70
26-Jun-11,3341.94
12-Jul-11,3175.64
28-Jul-11,2477.12
13-Aug-11,3553.38
29-Aug-11,4249.51
14-Sep-11,5939.04
30-Sep-11,5683.31
16-Oct-11,5674.49
01-Nov-11,4997.57
17-Nov-11,4407.07
03-Dec-11,3992.95
19-Dec-11,3745.09
01-Jan-12,3581.68
17-Jan-12,3441.50
02-Feb-12,3182.50
18-Feb-12,2998.58
05-Mar-12,2756.85
21-Mar-12,2527.14
06-Apr-12,2743.38
22-Apr-12,2918.80
08-May-12,2782.12
24-May-12,2636.21
09-Jun-12,2742.38
25-Jun-12,2575.83
11-Jul-12,2052.26
27-Jul-12,2148.85
12-Aug-12,4039.16
28-Aug-12,3355.06
13-Sep-12,5409.21
29-Sep-12,5914.16
15-Oct-12,5613.02
31-Oct-12,4935.78
16-Nov-12,4543.26
02-Dec-12,4037.57
18-Dec-12,3710.11
01-Jan-13,3648.23
17-Jan-13,3345.04
02-Feb-13,3197.28
18-Feb-13,3017.53
06-Mar-13,2866.44
22-Mar-13,2741.18
07-Apr-13,2669.39
23-Apr-13,2632.72
09-May-13,2540.17
25-May-13,2684.44
10-Jun-13,2242.11
26-Jun-13,1274.42
12-Jul-13,1408.02
28-Jul-13,3786.57
13-Aug-13,4430.34
29-Aug-13,5211.99
14-Sep-13,5639.35
30-Sep-13,5722.03
16-Oct-13,5431.88
01-Nov-13,4728.23
17-Nov-13,4512.19
03-Dec-13,4524.97
19-Dec-13,4288.46
01-Jan-14,3997.34
17-Jan-14,3856.00
02-Feb-14,3509.48
18-Feb-14,3399.87
06-Mar-14,3332.92
22-Mar-14,3125.71
07-Apr-14,3032.94
23-Apr-14,3104.14
09-May-14,3149.24
25-May-14,3171.35
10-Jun-14,3395.94
26-Jun-14,3107.41
12-Jul-14,2385.25
28-Jul-14,3187.01
13-Aug-14,4089.16
29-Aug-14,4537.78
14-Sep-14,5898.51
30-Sep-14,5618.52
16-Oct-14,5390.89
01-Nov-14,4902.56
17-Nov-14,4885.98
03-Dec-14,4680.41
19-Dec-14,4420.45
01-Jan-15,4135.01
17-Jan-15,3859.17
02-Feb-15,3465.38
18-Feb-15,3196.70
06-Mar-15,3498.37
22-Mar-15,3504.37
07-Apr-15,3344.36
23-Apr-15,3064.12
09-May-15,3165.47
25-May-15,3154.36
10-Jun-15,3409.07
26-Jun-15,4081.32
12-Jul-15,3585.70
28-Jul-15,3819.27
13-Aug-15,4585.13
29-Aug-15,5019.73
14-Sep-15,5637.26
30-Sep-15,5798.66
16-Oct-15,5872.63
01-Nov-15,5049.53
17-Nov-15,4651.60
03-Dec-15,4701.29
19-Dec-15,4318.64
01-Jan-16,4050.03
17-Jan-16,3596.01
02-Feb-16,3321.27
18-Feb-16,3413.35
05-Mar-16,3049.74
21-Mar-16,2894.96
06-Apr-16,2800.46
22-Apr-16,2740.62
08-May-16,2850.48
24-May-16,2722.98
09-Jun-16,2796.56
25-Jun-16,990.97
11-Jul-16,3159.56
27-Jul-16,2440.08
12-Aug-16,4259.33
28-Aug-16,4915.43
13-Sep-16,5287.81
29-Sep-16,6151.43
15-Oct-16,5468.09
31-Oct-16,4641.14
16-Nov-16,4256.01
02-Dec-16,4206.73
18-Dec-16,3927.88
01-Jan-17,3795.94
17-Jan-17,3578.30
02-Feb-17,3386.78
18-Feb-17,3135.86
06-Mar-17,2949.19
22-Mar-17,2862.61
07-Apr-17,2829.41
23-Apr-17,2751.73
09-May-17,3040.30
25-May-17,3128.94
10-Jun-17,3702.93
26-Jun-17,3848.01
12-Jul-17,2267.22
28-Jul-17,3965.91
13-Aug-17,4566.62
29-Aug-17,5059.08
14-Sep-17,6009.60
30-Sep-17,6162.08
16-Oct-17,5979.53
01-Nov-17,5318.14
17-Nov-17,5066.92
03-Dec-17,4955.97
19-Dec-17,4569.88
01-Jan-18,4254.54
17-Jan-18,3972.95
02-Feb-18,3601.92
18-Feb-18,3489.56
06-Mar-18,3374.52
22-Mar-18,3233.58
07-Apr-18,3294.27
23-Apr-18,3146.75
09-May-18,2994.95
25-May-18,3062.28
10-Jun-18,3403.88
26-Jun-18,3517.80
12-Jul-18,1760.08
28-Jul-18,3630.82
13-Aug-18,2173.85
29-Aug-18,5412.27
14-Sep-18,5616.23
30-Sep-18,5715.87
16-Oct-18,4896.82
01-Nov-18,4570.15
17-Nov-18,4534.45
03-Dec-18,4250.31
19-Dec-18,4091.44
01-Jan-19,3704.90
17-Jan-19,3557.72
02-Feb-19,3364.02
18-Feb-19,3100.66
06-Mar-19,2921.97
22-Mar-19,2838.20
07-Apr-19,2956.22
23-Apr-19,2931.81
09-May-19,2888.25
25-May-19,2825.21
10-Jun-19,2888.52
26-Jun-19,2212.15
12-Jul-19,4440.33
28-Jul-19,2934.28
13-Aug-19,4760.60
29-Aug-19,3459.47
14-Sep-19,6034.29
30-Sep-19,6316.30
16-Oct-19,5380.40
01-Nov-19,6157.74
17-Nov-19,5305.57
03-Dec-19,4990.96
19-Dec-19,4730.28
