State/Union territory,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
Andaman and Nicobar Islands,1082,1228,1392,1813,2044,2538,2990,3480,4120,4345
Andhra Pradesh,156711,167096,190017,224713,255941,301035,364813,426765,476835,583762
Arunachal Pradesh,2104,2071,2368,3488,3755,4108,4810,5687,7474,9013
Assam,38313,43407,47305,53398,59385,64692,71076,81074,95975,112688
Bihar,57657,64965,66174,77781,82490,100737,113680,142279,162923,204289
Chandigarh,5490,6453,7419,8504,10185,12276,13669,15334,17717,20017
Chhattisgarh,29539,32493,38802,47862,53381,66875,80255,96972,99364,119420
dadra,0,0,0,0,0,0,0,0,0,0
daman,0,0,0,0,0,0,0,0,0,0
Delhi,65027,71361,79468,100325,115374,135584,157947,189553,219753,252753
Goa,7097,8100,9301,12713,14327,16523,19565,25414,29126,33605
Haryana,65505,72528,82862,95795,108885,128732,151596,182522,223600,260621
Himachal Pradesh,17148,18905,20721,24077,27127,30274,33963,41483,48189,57452
Jammu and Kashmir (state),18039,20326,22194,27305,29920,33230,37099,42315,48385,58073
Jharkhand,35069,37967,42449,59758,60901,66935,83950,87794,100621,127281
Karnataka,112847,120889,130990,166747,195904,227237,270629,310312,337559,410703
Kerala,77924,86895,96698,119264,136842,153758,175141,202783,231999,263773
Lakwadeep,0,0,0,0,0,0,0,0,0,0
Madhya Pradesh,86745,86832,102839,112927,124276,144577,161479,197276,227984,263396
Maharashtra,273188,299479,340600,415480,486766,584498,684817,753969,855751,1035086
Manipur,3369,3506,3979,5133,5718,6137,6783,7399,8254,9137
Meghalaya,4478,4763,5280,6559,7265,8625,9735,11617,12709,14583
Mizoram,1947,2166,2325,2682,2971,3290,3816,4577,5260,6388
Nagaland,3972,4467,4812,5839,6588,7257,8075,9436,10527,11759
Odisha,46756,49713,61008,77729,85096,101839,129274,148491,162946,197530
Puducherry,4259,4931,5438,5754,7977,8335,9251,10050,12304,13092
Punjab,79611,82249,90089,96839,108637,127123,152245,174039,197500,226204
Rajasthan,91771,88550,111606,127746,142236,171043,194822,230949,265825,338348
Sikkim,1136,1276,1430,1739,1993,2161,2506,3229,6133,7412
Tamil Nadu,148861,158155,175371,219003,257833,310526,350819,401336,479733,584896
Tripura,6370,6733,7551,8904,9826,10914,11797,13573,15403,17868
Uttar Pradesh,190269,206855,226972,260841,293172,336317,383026,444685,523394,600164
Uttarakhand,15144,18473,20439,24786,29968,36795,45856,56025,70730,83969
West Bengal,157144,168000,189259,208656,230245,261682,299483,341942,398880,460959
