state,gdp
Andaman & Nicobar Islands,7871
Andhra Pradesh ,1563358
Arunachal Pradesh,22045
Assam,288494
Bihar,484740
Chandigarh,38806
Chhattisgarh,284194
daman,0
dadra,0
Delhi,690098
Goa,70493
Haryana,626054
Himachal Pradesh,140613
Jammu & Kashmir,138488
Jharkhand,276243
Karnataka,1350257
Kerala,700532
Lakswadeep,0
Madhya Pradesh,728242
Maharashtra,2411600
Manipur,23968
Meghalaya,30790
Mizoram,19457
Nagaland,24281
Odisha,436374
Puducherry,32962
Punjab,479141
Rajasthan,835558
Sikkim,23495
Tamil Nadu,1461841
Tripura,46133
Uttar Pradesh,1376324
Uttarakhand,222836
West Bengal1,999585
