State ,Population
Andaman and Nicobar Islands,380581.000
Andhra Pradesh,84580777.000
Arunachal Pradesh,1383727.000
Assam,31205576.000
Bihar,104099452.000
Chandigarh,1055450.000
Chhattisgarh,25545198.000
Dadra and Nagar Haveli and Daman and Diu,585764.000
Dadra and Nagar Haveli and Daman and Diu,585764.000
Delhi,16787941.000
Goa,1458545.000
Haryana,25351462.000
Himachal Pradesh,6864602.000
Jammu and Kashmir,12267032.000
Jharkhand,32988134.000
Karnataka,61095297.000
Kerala,33406061.000
Lakshadweep,64473.000
Madhya Pradesh,72626809.000
Maharashtra,112374333.000
Manipur,2570390.000
Meghalaya,2966889.000
Mizoram,1097206.000
Nagaland,1978502.000
Odisha,41974219.000
Puducherry,1247953.000
Punjab,27743338.000
Rajasthan,68548437.000
Sikkim,610577.000
Tamil Nadu,72147030.000
Tripura,3673917.000
Uttar Pradesh,199812341.000
Uttarakhand,10086292.000
West Bengal,91276115.000
