Year,April,August,December,February,January,July,June,March,May,November,October,September
2000,,857.7168039,3.574434899,,,311.75876,475.4149939,,,2.20111721,68.25132227,205.1584355
2001,33.93034479,324.7207733,0.131368058,5.09E-05,0.071433436,88.03210496,241.9298949,6.139990085,21.83888645,4.443846567,420.956721,255.3617042
2002,28.42408053,584.5937433,0.010992591,4.442186829,7.696360354,196.3185563,359.9046114,2.376064865,6.30748441,0.656108946,130.1402411,149.183001
2003,35.65646439,318.1776548,0.858716847,20.92785307,0.545855229,393.8017218,256.5535046,13.85092878,2.364367099,6.457188466,75.68238582,168.4969636
2004,5.293687925,166.4213187,0.053380927,0,10.17829302,477.3125642,189.4583322,0.823976295,144.7872273,26.51570398,87.46803841,342.4947813
2005,29.65133487,279.9650192,0.110979698,0.272297508,18.61911711,1022.161381,196.9478579,15.82273629,59.18719526,0.328220082,229.7592346,500.3942254
2006,1.878509408,567.0353336,0,0,0.037839087,347.6824703,287.4385141,44.04108186,104.6376475,116.5152978,88.20894754,459.1081701
2007,16.10566826,386.4745198,0.101620486,1.74E-05,0.070873508,347.4639065,386.5114759,0,2.855978377,0.712828529,17.89137534,444.4778198
2008,15.37324091,356.9773527,2.359228908,0.04203629,0.002209667,287.2023197,139.4627803,84.46447095,19.13995248,34.31364033,39.98278124,642.6568458
2009,4.283379451,420.4997292,5.05983389,0.000584128,0.077957936,397.808582,195.5103491,19.98695359,54.26556258,191.5223037,86.27240018,469.1572714
2010,7.295702274,587.8784976,1.835412337,0.952755287,6.145194794,707.5958207,524.9127823,8.074855113,11.282222,100.2361871,172.4355422,316.4642257
2011,26.58939148,493.8943398,0.000570566,13.87370781,0.047389545,618.9937301,175.8044653,1.974499038,21.50313727,0.034079652,176.6866742,180.5489182
2012,31.43191933,199.7573821,0.088276493,1.100259079,0.206577496,316.4066551,201.7865956,0,14.46851414,13.8688465,154.6431411,286.9065663
2013,14.97810589,200.7083006,33.63759558,3.149438868,4.54718408,653.4957061,447.0884205,5.780465284,30.35077179,2.200349276,159.6943441,333.0963287
2014,30.19038726,479.8097106,9.575244046,15.08450024,1.172600845,358.7260101,134.2556324,154.3758089,40.3306407,76.27537705,55.60153604,210.1711679
2015,70.35317409,353.63777,0.283377967,10.31191969,21.47343045,67.41186936,273.3444572,57.19976552,61.66467631,30.13764122,77.30494042,390.2494792
2016,5.107120003,160.1503422,0.230517971,7.185303263,0.101121398,550.8670338,292.3586965,25.68191014,20.70550191,0.459267129,85.36651911,570.2371892
2017,0.416928711,493.3289148,4.516325338,0.009018089,0.00102719,167.1600457,409.1490805,10.27112516,6.625315031,4.579292268,188.4850615,371.7143735
2018,13.28658736,307.4649324,1.445508188,8.075423781,0,270.1708021,333.279382,2.010527513,30.90957292,6.276591451,16.32153404,54.44519865
2019,10.27593824,202.3586996,1.329619371,0.020000971,0,227.1375689,218.7530828,0.39825443,1.230621208,11.17061201,449.5860699,327.1414786
2020,3.334234911,526.7097518,,1.596158557,0,628.0732848,493.0764707,44.50131885,41.92396773,,,113.9814507
