,quefrency,Ampli
0,0.0,(1032.2113224530162+0j)
1,0.010869565217391304,(41.95958949358541+3.6637359812630166e-15j)
2,0.021739130434782608,(17.358465668861225+6.106226635438361e-15j)
3,0.03260869565217391,(15.009430330951709-3.774758283725532e-15j)
4,0.043478260869565216,(20.99339818571665-3.552713678800501e-15j)
5,0.05434782608695652,(4.125028915824233+2.220446049250313e-16j)
6,0.06521739130434782,(7.99873807119625-5.329070518200751e-15j)
7,0.07608695652173914,(14.771447430388184+1.3322676295501878e-15j)
8,0.08695652173913043,(0.828572619709341-5.662137425588298e-15j)
9,0.09782608695652173,(39.36886135284885-1.0658141036401503e-14j)
10,0.10869565217391304,(16.509072238511887-8.215650382226158e-15j)
11,0.11956521739130435,(-8.986411593403444-2.248201624865942e-15j)
12,0.13043478260869565,(-6.191519315761947-2.1371793224034263e-15j)
13,0.14130434782608695,(1.3057020190979636-4.440892098500626e-15j)
14,0.15217391304347827,(-11.075620326734292-9.769962616701378e-15j)
15,0.16304347826086957,(5.845122918870398-4.440892098500626e-16j)
16,0.17391304347826086,(-3.337753503183579+1.3322676295501878e-15j)
17,0.18478260869565216,(-7.602671664882081+0j)
18,0.19565217391304346,(-5.900566709840153-6.661338147750939e-15j)
19,0.20652173913043478,(9.94369984625835-3.9968028886505635e-15j)
20,0.21739130434782608,(-1.8762841072124417-5.773159728050814e-15j)
21,0.22826086956521738,(13.68423217782305+1.9984014443252818e-15j)
22,0.2391304347826087,(-7.01194783371355+1.3322676295501878e-15j)
23,0.25,(-6.0397572004546305-5.684341886080802e-14j)
24,0.2608695652173913,(-9.161035286897167-1.3322676295501878e-15j)
25,0.2717391304347826,(17.459005006429017-1.9984014443252818e-15j)
26,0.2826086956521739,(-7.040530661112353+4.884981308350689e-15j)
27,0.2934782608695652,(21.30180574911359-1.3322676295501878e-15j)
28,0.30434782608695654,(-2.694569915966098-1.3322676295501878e-15j)
29,0.31521739130434784,(17.312276657285658-5.329070518200751e-15j)
30,0.32608695652173914,(-9.53534974517696+4.440892098500626e-16j)
31,0.33695652173913043,(4.887253544838899+1.1102230246251565e-14j)
32,0.34782608695652173,(9.905899005417897-4.440892098500626e-15j)
33,0.358695652173913,(3.8124075166541536-1.7763568394002505e-15j)
34,0.3695652173913043,(-3.3413878417882925-8.743006318923108e-15j)
35,0.3804347826086956,(-7.962851309521616-8.854028621385623e-15j)
36,0.3913043478260869,(10.21424851051994-5.551115123125783e-15j)
37,0.40217391304347827,(15.09002287163425-5.329070518200751e-15j)
38,0.41304347826086957,(-7.2575886134595+5.88418203051333e-15j)
39,0.42391304347826086,(-6.053930050648697+4.440892098500626e-16j)
40,0.43478260869565216,(-10.882770313256053-1.0658141036401503e-14j)
41,0.44565217391304346,(12.914320179840802+5.551115123125783e-15j)
42,0.45652173913043476,(-0.5934550875303941-8.881784197001252e-16j)
43,0.46739130434782605,(9.161164511925168+6.8833827526759706e-15j)
44,0.4782608695652174,(-4.5194162944445955+2.1094237467877974e-15j)
45,0.4891304347826087,(3.0145716080713+9.992007221626409e-16j)
46,0.5,(-15.201570270871287+0j)
